strategy,metric,absolute_gap,min_value,max_value,baseline_gap,delta_gap_vs_baseline
baseline,precision,0.6530612244897959,0.0,0.6530612244897959,0.6530612244897959,0.0
baseline,recall,1.0,0.0,1.0,1.0,0.0
baseline,f1,0.7804878048780488,0.0,0.7804878048780488,0.7804878048780488,0.0
baseline,fpr,0.9565217391304348,0.043478260869565216,1.0,0.9565217391304348,0.0
baseline,fnr,1.0,0.0,1.0,1.0,0.0
baseline,ece,0.1780455239251293,0.02796635443929968,0.20601187836442897,0.1780455239251293,0.0
baseline,brier_score,0.14278092350313581,0.0790145845902411,0.22179550809337692,0.14278092350313581,0.0
class_weight_balanced,precision,0.55,0.0,0.55,0.6530612244897959,-0.10306122448979582
class_weight_balanced,recall,1.0,0.0,1.0,1.0,0.0
class_weight_balanced,f1,0.7096774193548387,0.0,0.7096774193548387,0.7804878048780488,-0.07081038552321006
class_weight_balanced,fpr,0.9565217391304348,0.043478260869565216,1.0,0.9565217391304348,0.0
class_weight_balanced,fnr,1.0,0.0,1.0,1.0,0.0
class_weight_balanced,ece,0.18454928986243213,0.11271012143308477,0.2972594112955169,0.1780455239251293,0.006503765937302841
class_weight_balanced,brier_score,0.18218649232925394,0.08058673571328677,0.2627732280425407,0.14278092350313581,0.03940556882611812
global_threshold_best_f1,precision,0.6530612244897959,0.0,0.6530612244897959,0.6530612244897959,0.0
global_threshold_best_f1,recall,1.0,0.0,1.0,1.0,0.0
global_threshold_best_f1,f1,0.7804878048780488,0.0,0.7804878048780488,0.7804878048780488,0.0
global_threshold_best_f1,fpr,0.9565217391304348,0.043478260869565216,1.0,0.9565217391304348,0.0
global_threshold_best_f1,fnr,1.0,0.0,1.0,1.0,0.0
global_threshold_best_f1,ece,0.1780455239251293,0.02796635443929968,0.20601187836442897,0.1780455239251293,0.0
global_threshold_best_f1,brier_score,0.14278092350313581,0.0790145845902411,0.22179550809337692,0.14278092350313581,0.0
group_class_reweighting,precision,0.5789473684210527,0.0,0.5789473684210527,0.6530612244897959,-0.07411385606874321
group_class_reweighting,recall,1.0,0.0,1.0,1.0,0.0
group_class_reweighting,f1,0.7333333333333333,0.0,0.7333333333333333,0.7804878048780488,-0.047154471544715526
group_class_reweighting,fpr,0.782608695652174,0.21739130434782608,1.0,0.9565217391304348,-0.17391304347826086
group_class_reweighting,fnr,1.0,0.0,1.0,1.0,0.0
group_class_reweighting,ece,0.16570582481292434,0.08930476932491282,0.25501059413783717,0.1780455239251293,-0.01233969911220495
group_class_reweighting,brier_score,0.14652605191779944,0.08752923657110542,0.23405528848890486,0.14278092350313581,0.0037451284146636232
group_reweighting,precision,0.6326530612244898,0.0,0.6326530612244898,0.6530612244897959,-0.020408163265306034
group_reweighting,recall,1.0,0.0,1.0,1.0,0.0
group_reweighting,f1,0.7560975609756098,0.0,0.7560975609756098,0.7804878048780488,-0.024390243902439046
group_reweighting,fpr,0.9565217391304348,0.043478260869565216,1.0,0.9565217391304348,0.0
group_reweighting,fnr,1.0,0.0,1.0,1.0,0.0
group_reweighting,ece,0.16590998519224062,0.03154874061170978,0.1974587258039504,0.1780455239251293,-0.012135538732888668
group_reweighting,brier_score,0.15032506993466616,0.07739172608195409,0.22771679601662023,0.14278092350313581,0.007544146431530341
