model,kpi,value,source_table,status,threshold,scenario,degradation_type,degradation_rate,split_type,strategy,metric,subgroup_feature
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.6,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.65,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.7,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.75,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.8,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.85,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.9,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.1,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.15,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.2,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.25,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.3,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.35,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.4,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.45,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.5,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.55,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.6,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.65,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.7,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.75,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.8,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.85,,,,,,,
logistic_regression,brier_score,0.2191371338795311,threshold_metrics,red,0.9,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.1,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.15,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.2,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.25,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.3,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.35,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.4,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.45,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.5,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.55,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.6,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.65,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.7,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.75,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.8,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.85,,,,,,,
random_forest,brier_score,0.1618887214404631,threshold_metrics,red,0.9,,,,,,,
logistic_regression,ece,0.2147322778381482,threshold_metrics,red,0.1,,,,,,,
logistic_regression,ece,0.2147322778381482,threshold_metrics,red,0.15,,,,,,,
logistic_regression,ece,0.2147322778381482,threshold_metrics,red,0.2,,,,,,,
logistic_regression,ece,0.2147322778381482,threshold_metrics,red,0.25,,,,,,,
logistic_regression,ece,0.2147322778381482,threshold_metrics,red,0.3,,,,,,,
logistic_regression,ece,0.2147322778381482,threshold_metrics,red,0.35,,,,,,,
logistic_regression,ece,0.2147322778381482,threshold_metrics,red,0.4,,,,,,,
